Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.001,-1.34614e-07,9.43886e-08,-7.22336e-05,-1.14495e-07,0.150274,5.6167e-11,-0.177691,0.143148,0.00840658,-0.0548606,-0.162532,0,-0,-9.25369e-06,9.42101e-05,0.00442693,3.01271e-06,6.8175e-11,-1.14563e-07,2.69288e-09,-1.17256e-07,-0.0184297,0,-0.111757
0.002,-1.4107e-07,1.14261e-07,-8.75463e-05,-1.17691e-07,0.182793,6.96048e-11,-0.172777,0.143396,0.00826642,-0.0549161,-0.16244,0,-0,-5.27278e-06,7.89899e-05,0.00334205,5.14611e-06,8.34906e-11,-1.17774e-07,3.40182e-09,-1.21176e-07,-0.0183943,0,-0.0741603
0.003,-1.45174e-07,1.2603e-07,-0.000102803,-1.19725e-07,0.202565,7.80166e-11,-0.168622,0.143548,0.00814472,-0.0549709,-0.162383,0,-0,-2.31813e-06,6.60147e-05,0.00251375,5.95462e-06,9.38512e-11,-1.19819e-07,3.85924e-09,-1.23678e-07,-0.00918634,0,-0.0410087
0.004,-1.47772e-07,1.3309e-07,-0.000117952,-1.21026e-07,0.214833,8.33303e-11,-0.16508,0.143642,0.00803887,-0.0550227,-0.162348,0,-0,-2.04772e-07,5.4937e-05,0.00188576,5.57854e-06,1.00639e-10,-1.21126e-07,4.15378e-09,-1.2528e-07,-0.0146874,0,-0.0307421
0.005,-1.49438e-07,1.37288e-07,-0.000132665,-1.21882e-07,0.222456,8.66684e-11,-0.162078,0.143701,0.00794771,-0.0550698,-0.162326,0,-0,1.21073e-06,4.55912e-05,0.00142001,5.51789e-06,1.05019e-10,-1.21987e-07,4.34225e-09,-1.26329e-07,-0.00367017,0,-0.00917212
0.006,-1.50266e-07,1.39173e-07,-0.00014724,-1.22333e-07,0.226312,8.83681e-11,-0.159521,0.143731,0.00786893,-0.0551128,-0.162315,0,-0,2.15042e-06,3.76437e-05,0.00106808,5.02971e-06,1.0725e-10,-1.2244e-07,4.4394e-09,-1.26879e-07,-0.0128426,0,-0.0120273
0.007,-1.51063e-07,1.40987e-07,-0.000161575,-1.22767e-07,0.22997,8.99869e-11,-0.157317,0.143759,0.00780061,-0.0551501,-0.162305,0,-0,2.73058e-06,3.08685e-05,0.000802828,4.94242e-06,1.09377e-10,-1.22877e-07,4.53253e-09,-1.27409e-07,-0.0165083,0,-0.00991253
0.008,-1.51574e-07,1.42005e-07,-0.000175713,-1.23066e-07,0.232283,9.10142e-11,-0.155431,0.143777,0.00774163,-0.0551831,-0.162298,0,-0,3.05299e-06,2.51139e-05,0.000603293,4.42334e-06,1.10739e-10,-1.23176e-07,4.59268e-09,-1.27769e-07,-0.016506,0,-0.0057924
0.009,-1.51367e-07,1.41008e-07,-0.000189746,-1.23034e-07,0.231303,9.05786e-11,-0.153849,0.14377,0.00769131,-0.0552135,-0.162301,0,-0,3.20228e-06,2.02725e-05,0.000453425,4.94958e-06,1.10208e-10,-1.23144e-07,4.57066e-09,-1.27714e-07,-0.0110046,0,0.000205868
0.01,-1.51287e-07,1.40443e-07,-0.00020348,-1.23057e-07,0.230957,9.04252e-11,-0.152527,0.143767,0.00764917,-0.0552387,-0.162302,0,-0,3.2441e-06,1.62601e-05,0.000341229,4.9628e-06,1.10007e-10,-1.23167e-07,4.5642e-09,-1.27731e-07,-0.0110049,-100,-99.9989
