Time,CaSSavg,CaJSRavg,JRyRtot,PRyR_open,PRyR_ready,PNorm_mode,PnotVinact,PLType_open,CaToT2,PIto2_open,CaJSRtot,CaSStot
10.001,0.000199694,0.946665,9.67024e-06,0.0007,0.551133,0.9955,0.964167,0,10.9656,0.00116667,0.000681894,6.04487
10.002,0.000200083,0.946641,1.02065e-05,0.000733333,0.5517,0.995833,0.964167,0,10.9655,0.00133333,0.000683856,6.0448
10.003,0.000207875,0.946607,1.1637e-05,0.000833333,0.552067,0.996,0.964333,0,10.9653,0.00133333,0.000690995,6.0447
10.004,0.000212262,0.946569,1.26894e-05,0.0009,0.5527,0.995833,0.9645,0,10.9652,0.001,0.00069564,6.04458
10.005,0.00021561,0.946524,1.27944e-05,0.0009,0.553033,0.996167,0.9645,0,10.965,0.00116667,0.000698426,6.04444
10.006,0.000209653,0.946483,1.17471e-05,0.000833333,0.553633,0.996167,0.9645,0,10.9648,0.00116667,0.000694707,6.04431
10.007,0.000200544,0.946452,9.83439e-06,0.0007,0.554033,0.995667,0.9645,0,10.9647,0.002,0.000688539,6.04422
10.008,0.000191039,0.946438,7.99356e-06,0.000566667,0.554433,0.995667,0.9645,0,10.9645,0.00166667,0.000681608,6.04419
10.009,0.000185934,0.946431,7.1389e-06,0.0005,0.555033,0.9955,0.964667,0,10.9644,0.000666667,0.000676417,6.04418
10.01,0.000182632,0.946428,6.63722e-06,0.000466667,0.555833,0.9955,0.964667,0,10.9642,0.000666667,0.00067327,6.04418
10.011,0.000185414,0.946425,7.79693e-06,0.000533333,0.556467,0.9955,0.962667,0.00566667,10.9645,0.000833333,0.000678195,6.04418
10.012,0.000305583,0.946406,9.98355e-06,0.000666667,0.557,0.995,0.957667,0.1995,10.9659,0.00183333,0.00107445,6.04414
10.013,0.000818788,0.946374,1.15978e-05,0.000766667,0.5571,0.992667,0.950333,0.282833,10.9697,0.003,0.00256895,6.04405
10.014,0.00165881,0.946242,4.45552e-05,0.0027,0.5555,0.988833,0.9425,0.2905,10.9773,0.00816667,0.00429848,6.04367
10.015,0.00236939,0.945665,0.000119134,0.0072,0.550967,0.983667,0.9345,0.276167,10.9861,0.0135,0.00518437,6.04196
10.016,0.00309559,0.944257,0.000245349,0.0150333,0.542667,0.976667,0.9285,0.259667,10.9953,0.0173333,0.00574243,6.03774
10.017,0.00379956,0.941801,0.000380694,0.0237667,0.5329,0.9675,0.922167,0.266,11.0045,0.0193333,0.00615016,6.03029
10.018,0.00445341,0.938444,0.000510472,0.0326,0.522333,0.959167,0.918167,0.2525,11.0134,0.0243333,0.00651404,6.01993
10.019,0.00491204,0.934393,0.000605459,0.0395667,0.513,0.948333,0.912833,0.245,11.0216,0.026,0.00674471,6.00721
10.02,0.0053967,0.929829,0.000699167,0.0464333,0.503,0.935667,0.908167,0.255833,11.0296,0.0308333,0.00714412,5.99267
10.021,0.00575194,0.92493,0.000781141,0.0525667,0.492767,0.924,0.902833,0.2445,11.0372,0.0296667,0.00739386,5.9769
10.022,0.00619895,0.919577,0.000867908,0.0593667,0.481967,0.909167,0.898667,0.237,11.0443,0.0338333,0.00767968,5.9595
10.023,0.00649047,0.913948,0.000923656,0.0641,0.472933,0.897667,0.894833,0.243167,11.051,0.0375,0.00797615,5.94105
10.024,0.00677061,0.908149,0.000985604,0.0691333,0.464067,0.882667,0.8905,0.228833,11.0575,0.0346667,0.00822738,5.9219
10.025,0.00702935,0.902135,0.00103155,0.0732667,0.454767,0.868,0.885167,0.2305,11.0636,0.0413333,0.00850127,5.90195
10.026,0.00720263,0.896024,0.00106739,0.0767,0.445767,0.855,0.880833,0.226,11.0695,0.0441667,0.00868941,5.88155
10.027,0.00735203,0.889893,0.00109586,0.0796667,0.437267,0.839167,0.875167,0.221167,11.0752,0.0458333,0.00886601,5.86098
10.028,0.00744735,0.883727,0.00111408,0.0819667,0.429167,0.824333,0.871667,0.216667,11.0806,0.0403333,0.00902473,5.8402
10.029,0.00744491,0.877669,0.00111534,0.0826667,0.422233,0.813833,0.866167,0.204667,11.0858,0.046,0.00909641,5.81974
10.03,0.0073942,0.871759,0.00110378,0.0825,0.4163,0.803833,0.862833,0.2035,11.0908,0.0456667,0.00915784,5.79976
10.031,0.00726682,0.866115,0.00108158,0.0814667,0.410667,0.790833,0.8585,0.2035,11.0957,0.0441667,0.00919651,5.78065
10.032,0.00723932,0.860646,0.00107463,0.0816,0.404867,0.778667,0.853833,0.2015,11.1005,0.0401667,0.00926708,5.76212
10.033,0.00716558,0.855332,0.00106075,0.081,0.399367,0.767667,0.85,0.203667,11.1051,0.0366667,0.00931452,5.74413
10.034,0.00709975,0.850136,0.00104932,0.0805667,0.3945,0.753833,0.846167,0.1955,11.1095,0.0415,0.00929333,5.72655
10.035,0.00712393,0.844998,0.00105624,0.0813333,0.388433,0.739667,0.841167,0.193833,11.1138,0.0378333,0.00934892,5.70918
10.036,0.00710863,0.839379,0.00105318,0.0814333,0.3821,0.725833,0.838167,0.193,11.1184,0.0425,0.00941269,5.69021
10.037,0.00716804,0.83376,0.0010652,0.0824667,0.374733,0.712167,0.833167,0.184333,11.1229,0.0435,0.00950346,5.67127
10.038,0.00721908,0.828077,0.0010736,0.0835,0.368033,0.701167,0.829667,0.179833,11.1271,0.042,0.00958046,5.65209
10.039,0.00715677,0.822498,0.00105233,0.0824,0.362133,0.687167,0.826833,0.180167,11.1314,0.0408333,0.00961379,5.63324
10.04,0.00706575,0.817113,0.0010415,0.0820667,0.356767,0.674333,0.8205,0.167,11.1355,0.0411667,0.00956722,5.61496
10.041,0.00701278,0.811883,0.00102697,0.0812667,0.351267,0.663,0.817,0.1675,11.1395,0.0371667,0.00958612,5.59717
10.042,0.00693651,0.80676,0.0010079,0.0802667,0.345967,0.650667,0.814833,0.168167,11.1435,0.0436667,0.00958566,5.5797
10.043,0.00678562,0.801893,0.000979134,0.0784333,0.341333,0.64,0.808667,0.159167,11.1473,0.0388333,0.0095087,5.56305
10.044,0.00669187,0.797171,0.000964883,0.0776,0.336067,0.627667,0.806167,0.151167,11.151,0.0413333,0.00945302,5.54688
10.045,0.00661309,0.792576,0.000941076,0.0760667,0.331833,0.617667,0.803833,0.153,11.1547,0.0428333,0.00946488,5.5311
10.046,0.00654366,0.788541,0.000927862,0.0752667,0.3279,0.606167,0.801167,0.150333,11.1581,0.0443333,0.00948666,5.51722
10.047,0.00645152,0.784644,0.00090747,0.0738333,0.323933,0.597167,0.798167,0.1475,11.1615,0.0348333,0.00942721,5.5038
10.048,0.00638456,0.780846,0.000891082,0.0727333,0.32,0.588667,0.792,0.144,11.1648,0.0413333,0.00939851,5.49071
10.049,0.00629853,0.777168,0.000870555,0.0713,0.316467,0.579667,0.787833,0.1405,11.168,0.041,0.00935213,5.47802
10.05,0.00621915,0.773614,0.000856871,0.0704,0.312567,0.570833,0.787,0.135,11.1713,0.0381667,0.00932015,5.46572
10.051,0.00613375,0.770136,0.000841457,0.0692667,0.3084,0.559333,0.785667,0.132167,11.1744,0.0373333,0.00925216,5.45367
10.052,0.00606163,0.766782,0.000820379,0.0676667,0.304767,0.5495,0.784,0.136,11.1776,0.0373333,0.00924299,5.44204
10.053,0.00601289,0.763511,0.000812131,0.0672,0.301267,0.541333,0.783,0.1295,11.1807,0.0366667,0.00921754,5.43068
10.054,0.00592251,0.76034,0.000793972,0.0658667,0.2975,0.532667,0.779833,0.121833,11.1837,0.0306667,0.00914188,5.41963
10.055,0.0058363,0.757307,0.00077226,0.0642667,0.294267,0.524833,0.778667,0.126333,11.1868,0.0361667,0.00909863,5.40905
10.056,0.00582177,0.754331,0.000767348,0.0639333,0.290333,0.516667,0.7765,0.123833,11.1898,0.0328333,0.00909764,5.39865
10.057,0.0057583,0.751413,0.000754455,0.0628,0.286533,0.509167,0.7725,0.118167,11.1928,0.0381667,0.00907221,5.38845
10.058,0.00574572,0.748534,0.000749146,0.0623333,0.282167,0.502833,0.769,0.1195,11.1958,0.0335,0.00908574,5.37838
10.059,0.00574173,0.745695,0.000742057,0.0618333,0.278167,0.494,0.764667,0.120333,11.1988,0.0308333,0.00909527,5.36844
10.06,0.00570461,0.74292,0.00073789,0.0615333,0.273633,0.485333,0.7625,0.1155,11.2017,0.0368333,0.00903931,5.35868
10.061,0.00571015,0.740141,0.000736572,0.0616333,0.269767,0.478667,0.759,0.113667,11.2046,0.0353333,0.00904276,5.34886
10.062,0.0057265,0.737367,0.000735439,0.0617333,0.265667,0.469833,0.754833,0.109,11.2075,0.0328333,0.00906236,5.33898
10.063,0.00576474,0.734602,0.000738317,0.0620667,0.2609,0.462667,0.753,0.107667,11.2103,0.035,0.0090875,5.32908
10.064,0.00572537,0.731864,0.000728122,0.0615333,0.257133,0.4545,0.751833,0.102667,11.2131,0.0375,0.00905967,5.31922
10.065,0.00566537,0.729222,0.00071716,0.0609,0.254,0.446333,0.746833,0.098,11.2159,0.0318333,0.00903783,5.30964
10.066,0.00559407,0.726685,0.000699854,0.0597,0.2511,0.4405,0.744333,0.0983333,11.2186,0.0335,0.00902875,5.30038
10.067,0.00552057,0.724268,0.000679724,0.0583333,0.248567,0.433833,0.7415,0.0936667,11.2213,0.0325,0.00900064,5.29151
10.068,0.00545764,0.721986,0.000664152,0.0573,0.2458,0.426833,0.739167,0.094,11.2241,0.037,0.00897437,5.2831
10.069,0.00532771,0.719829,0.000639964,0.0554667,0.243367,0.42,0.7375,0.085,11.2267,0.034,0.00887069,5.27513
10.07,0.00529693,0.717755,0.000637837,0.0553667,0.240133,0.411333,0.732833,0.0815,11.2292,0.031,0.00882463,5.26745
10.071,0.005242,0.715708,0.000621876,0.0541667,0.237033,0.405833,0.7295,0.081,11.2318,0.0293333,0.00882432,5.25986
10.072,0.00527519,0.713698,0.000621708,0.0542333,0.233467,0.400833,0.728667,0.0828333,11.2344,0.0273333,0.00886994,5.25238
10.073,0.00532214,0.711659,0.000625629,0.0545667,0.2294,0.395333,0.726667,0.083,11.2371,0.0376667,0.00890912,5.24478
